Date,Price,Open,High,Low,Vol.,Change %,Price_Lag1
2025-04-21,87516.0,85179.0,88449.6,85148.8,98500.0,2.74,85179.0
2025-04-22,93441.9,87516.0,93816.9,87105.2,130169.99999999999,6.77,87516.0
2025-04-23,93697.7,93442.2,94462.6,91963.4,90350.0,0.27,93441.9
2025-04-24,93980.3,93696.3,94001.0,91673.0,66680.0,0.3,93697.7
2025-04-25,94676.9,93979.4,95718.6,92867.2,92040.0,0.74,93980.3
2025-04-26,94631.4,94669.3,95207.0,93891.8,33770.0,-0.05,94676.9
2025-04-27,93742.5,94631.4,95324.4,93640.7,36660.0,-0.94,94631.4
2025-04-28,94995.0,93742.5,95580.3,92818.9,73630.0,1.34,93742.5
2025-04-29,94269.8,94995.4,95453.4,93758.0,59860.0,-0.76,94995.0
2025-04-30,94184.4,94265.0,95223.4,93049.6,57100.0,-0.09,94269.8
2025-05-01,96499.3,94181.3,97394.3,94168.1,74560.0,2.46,94184.4
2025-05-02,96894.4,96497.3,97881.8,96359.3,51940.0,0.41,96499.3
2025-05-03,95885.8,96894.3,96922.2,95785.5,36240.0,-1.04,96894.4
2025-05-04,94316.9,95885.5,96297.8,94206.1,41310.0,-1.64,95885.8
2025-05-05,94745.2,94314.6,95206.8,93590.8,59210.0,0.45,94316.9
2025-05-06,96825.4,94745.9,96893.9,93408.8,55760.0,2.2,94745.2
